Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles,name,category,muscle_group,equipment,difficulty,instructions,calories_per_minute
Seated Barbell Shoulder Press,Strength,Shoulders,Push,Intermediate,Barbell,Sit on a bench with back support and press the barbell overhead.,Can be done standing for more core engagement.,Avoid locking your elbows to prevent joint strain.,Build shoulder strength and size.,Slow and controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",seated barbell shoulder press,strength,shoulders,barbell,intermediate,Sit on a bench with back support and press the barbell overhead.,6.0
Dumbbell Goblet Squat,Strength,Legs,Squat,Beginner,Dumbbell,Hold a dumbbell close to your chest and perform a squat.,Can be done with kettlebell.,Keep your back straight and knees behind toes.,Build leg strength.,Controlled descent and ascent.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",dumbbell goblet squat,strength,legs,dumbbell,beginner,Hold a dumbbell close to your chest and perform a squat.,6.0
Curtsy Lunge,Strength,Legs,Lunge,Intermediate,Bodyweight or Dumbbells,Step one leg behind and across the other leg and bend your knees.,Can be done with added weights for more intensity.,Maintain balance and avoid leaning forward.,Strengthen legs and glutes.,Controlled and steady.,Main workout,Stability,Gluteus Medius,"Quadriceps, Hamstrings",Adductors,"Core, Ankle Stabilizers",curtsy lunge,strength,legs,bodyweight or dumbbells,intermediate,Step one leg behind and across the other leg and bend your knees.,6.0
Medicine Ball Rotational Throw,Strength,Core,Rotational,Intermediate,Medicine Ball,Stand sideways to a wall and throw the ball with a rotational movement.,Use a lighter ball if needed.,Engage your core to protect your back.,Improve rotational power and core strength.,Explosive.,Main workout,Power,Obliques,"Rectus Abdominis, Erector Spinae",Opposing Obliques,"Core, Lower Body Stabilizers",medicine ball rotational throw,strength,core,medicine ball,intermediate,Stand sideways to a wall and throw the ball with a rotational movement.,6.0
5 Dot Drills,Cardio,Full Body,Agility,Intermediate,,Jump between five dots on the ground in a specific pattern.,Increase speed for more intensity.,Ensure the surface is non-slip.,Improve agility and coordination.,Quick and precise.,Warm-up,Agility,Calves,"Quads, Glutes",,"Core, Ankle Stabilizers",5 dot drills,cardio,full body,nan,intermediate,Jump between five dots on the ground in a specific pattern.,8.0
Medicine Ball Overhead Throw,Strength,Shoulders,Push,Intermediate,Medicine Ball,Throw a medicine ball overhead with both hands.,Use a lighter ball if needed.,Ensure a clear area around you to avoid injury.,Build shoulder strength and power.,Explosive.,Main workout,Power,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Lower Body Stabilizers",medicine ball overhead throw,strength,shoulders,medicine ball,intermediate,Throw a medicine ball overhead with both hands.,6.0
High Knee Lunge on Bosu Ball,Balance,Legs,Lunge,Intermediate,Bosu Ball,Perform lunges with high knees on a Bosu ball.,Perform without the Bosu ball for lower difficulty.,Maintain balance to avoid falls.,Improve leg strength and balance.,Controlled.,Main workout,Stability,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",high knee lunge on bosu ball,balance,legs,bosu ball,intermediate,Perform lunges with high knees on a Bosu ball.,6.0
Standing Leg Circles,Balance,Legs,Stability,Beginner,,Stand on one leg and perform circles with the other leg.,Hold onto a support if needed.,Maintain core engagement for balance.,Improve balance and leg strength.,Smooth and steady.,Warm-up,Stability,Hip Flexors,"Quadriceps, Glutes",Hamstrings,"Core, Ankle Stabilizers",standing leg circles,balance,legs,nan,beginner,Stand on one leg and perform circles with the other leg.,6.0
Static Lunge,Strength,Legs,Lunge,Beginner,,Step one leg forward and lower your body into a lunge position.,Hold weights for added intensity.,Ensure knees do not go past toes.,Build leg strength and stability.,Controlled descent and ascent.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",static lunge,strength,legs,nan,beginner,Step one leg forward and lower your body into a lunge position.,6.0
Navy Seal Burpee,Strength,Full Body,Compound,Advanced,,Perform a burpee with a push-up and a knee tuck.,Perform regular burpees for lower intensity.,Ensure proper form to avoid injury.,Build full body strength and endurance.,Explosive.,Main workout,Power,"Pectorals, Deltoids","Triceps, Quadriceps",Latissimus Dorsi,"Core, Scapular Stabilizers",navy seal burpee,strength,full body,nan,advanced,Perform a burpee with a push-up and a knee tuck.,6.0
Seated Zottman Curl,Strength,Arms,Curl,Intermediate,Dumbbells,Curl the weights up and rotate the wrists at the top.,Perform standing for more core engagement.,Avoid swinging the weights.,Build arm strength and size.,Slow and controlled.,Main workout,Strength,"Biceps, Brachialis",Forearm Flexors,Triceps,"Core, Scapular Stabilizers",seated zottman curl,strength,arms,dumbbells,intermediate,Curl the weights up and rotate the wrists at the top.,6.0
Dumbbell Walking Lunge,Strength,Legs,Lunge,Intermediate,Dumbbells,"Step forward into a lunge with each leg, holding dumbbells at your sides.",Use bodyweight only for lower intensity.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",dumbbell walking lunge,strength,legs,dumbbells,intermediate,"Step forward into a lunge with each leg, holding dumbbells at your sides.",6.0
Dumbbell Push Press,Strength,Shoulders,Push,Intermediate,Dumbbells,Dip your knees and use your legs to help press the dumbbells overhead.,Perform seated for isolation.,Avoid locking your elbows.,Build shoulder and leg strength.,Explosive.,Main workout,Power,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",dumbbell push press,strength,shoulders,dumbbells,intermediate,Dip your knees and use your legs to help press the dumbbells overhead.,6.0
